movie,user_review_permalink,user_review,sentiment
Dil Bechara,https://www.imdb.com/review/rw5963527/,"SSR has done some amazing work in some amazing movies. This is not one of them. Yeah he's charming and fun to watch like always but it's not his best movie. You gave this movie 10/10 based of guilt - guilt of never watching his movies that were actually worthy of your 10/10. He did better movies than this. Don't go by the general rating on this. Watch sonchiriya, kai po che and chhichhore.",negative
Dil Bechara,https://www.imdb.com/review/rw5930232/,One of the finest acting I've ever seen.I suggest you to please watch this. I think this is far better than movies originated from nepotism. Shushant Sir has done great work and lived the moment in this film. Everything was perfect.,positive
Sadak 2,https://www.imdb.com/review/rw6035756/,"The story does not make sense, the action scenes do not make sense. Average performances. Not worth your time.",negative
Sadak 2,https://www.imdb.com/review/rw6035756/,"The story does not make sense, the action scenes do not make sense. Average performances. Not worth your time.",positive
London Confidental,https://www.imdb.com/review/rw6108883/,It's not bad as they are showcaseing above. The Plots have some necessary wholes but it's one time watchable. Brightside is it's not a masala movie. It had potential but couldn't utilized properly. Stepping stone for this kind of moves. Hope it will inprove by time.,negative
London Confidental,https://www.imdb.com/review/rw6116067/,"Amid a series of brutal killings of Indian agents in London, a RAW officer and India'sAmbassador. Interesting!",positive
Halahal,https://www.imdb.com/review/rw6113125/,"Halahal begins and ends with scenes set in the night-time. In between, characters wind in and out of police stations, colleges, hostel rooms and hotels, shining a feeble torchlight on that elusive thing called justice.
The title of the Eros Now original film loosely means venom. Toxicity is delivered by the bucketful over 97 minutes. Its first splash is in the form of a murder disguised as a suicide. Somebody wants the medical student Archana out of the way, and that somebody has succeeded.
The set-up is hardly new - bereaved father teaming up with law enforcement's last honest representative. Yet, writer Ghibran Noorani and director Randeep Jha bring energy and freshness to familiar material. The fluid narrative smoothly moves from one scene to the next and deftly scales every tier of the multi-crore admissions swindle. Despite a few plotting missteps, Halahal benefits from sharp casting, convincing performances, an unsentimental approach, and an unwavering moral purpose.",negative
Halahal,https://www.imdb.com/review/rw6114491/,"With so many movies steaming from different sources it's hard to keep track of good one's. AFTER A LONG LONG TIME I have seen a movie which has ALL the right checks. Story and writing is 10/10 but acting and screen play takes a cake.
Burun Sobti was a real surprise and I was bowled by his powerful performance. No one can tell he is the same hero who can melt hearts in IPKKD with his mere looks and heated gazes:)
Hope he gets good roles like these and people recognize his skills and versatility.
Kudos to Barun!",positive
Raat Akeli Hai,https://www.imdb.com/review/rw5955736/,"All performances are good, casting is good, but unnecessarily they stretch the suspense so long that it looses its grip and excitement and it starts paining in head.",negative
Raat Akeli Hai,https://www.imdb.com/review/rw5955295/,"Nawazuddin and Radhika!! Two gems of Bollywood and their chemistry is must watch ,
Awesome acting and story , best Dark crime mystery drama !!",positive
