movie,user_review_permalink,user_review,sentiment
Dil Bechara,https://www.imdb.com/review/rw5963527/,"SSR has done some amazing work in some amazing movies. This is not one of them. Yeah he's charming and fun to watch like always but it's not his best movie. You gave this movie 10/10 based of guilt - guilt of never watching his movies that were actually worthy of your 10/10. He did better movies than this. Don't go by the general rating on this. Watch sonchiriya, kai po che and chhichhore.",negative
Dil Bechara,https://www.imdb.com/review/rw5930232/,One of the finest acting I've ever seen.I suggest you to please watch this. I think this is far better than movies originated from nepotism. Shushant Sir has done great work and lived the moment in this film. Everything was perfect.,positive
Gunjan Saxena: The Kargil Girl,https://www.imdb.com/review/rw5984695/,Very boring movie and very bad acting by jhanvi kapoor. 1 star is only for pankaj tripathi sir,negative
Gunjan Saxena: The Kargil Girl,https://www.imdb.com/review/rw5992803/,"A great patriotic movie with an awesome storyline, Pankaj tripathi was just awesome",positive
Raat Akeli Hai,https://www.imdb.com/review/rw5955736/,"All performances are good, casting is good, but unnecessarily they stretch the suspense so long that it looses its grip and excitement and it starts paining in head.",negative
Raat Akeli Hai,https://www.imdb.com/review/rw5955295/,"Nawazuddin and Radhika!! Two gems of Bollywood and their chemistry is must watch ,
Awesome acting and story , best Dark crime mystery drama !!",positive
Bulbbul,https://www.imdb.com/review/rw5850689/,"7.5/10
Bulbbul is a unique story circling around a girl who's married to an older man and goes to a Haveli. 20 years later, she's a respected Thakurayan but what follows after is a well written but predictable mystery.
The movie is great in all aspects. I loved the performances of all the actors. But I think the character of bulbbul could have been developed better and there'd have been twists in the tale.Nevertheless a great watch!!!",negative
Bulbbul,https://www.imdb.com/review/rw5851580/,"This movie is what Netflix needed and infact what Our movie industry needed.
Its intense, gripping and has a sense of purpose.
The actors portray their roles exceedingly well.
Mainstream movie industry in Bombay should take a cue from this.",positive
Lootcase,https://www.imdb.com/review/rw5955475/,"Great entertaining and comedy with thrill...
Was not bored while watching..Recommended for all... Good movie 👌👌 superb..
Kunal Khemu was at his best..Vijay ji was great as usual.. Gajraj Rao ji also was at his best..",negative
Lootcase,https://www.imdb.com/review/rw5956408/,"I saw a lot of critics have given not so good rating. Going by what we are witnessing with the likes of Rajeev Masand, relying on critics is disastrous. My rating for the movie is a complete 10/10! It's an awesome movie and great performances by all the actors-Kunal as usual with his epic comic timing, Ranvir as the diabolical cop, Vijay Raaz as the nature loving Don, all of them have given their best. It's a laugh riot right from the beginning. Maybe they could have avoided the songs but that can be pardoned. Go for it guys you won't be disappointed. You will thoroughly enjoy the movie",positive
